Species;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;1338909159599__artelab-gallo-run_OfficialScore_InverseRank;1339772364611__LIRIS_run_00_OfficialScore_InverseRank;1340331426139__ZhaoHFUT_run1_OfficialScore_InverseRank;1340331843469__ZhaoHFUT_run2_OfficialScore_InverseRank;1340332545702__ZhaoHFUT_run3_OfficialScore_InverseRank;1340355500493__results_cdd_plants2012_lpq_spyr_OfficialScore_InverseRank;1340355731188__result_latefusion_OfficialScore_InverseRank;1340442006232__result_latefusion1_OfficialScore_InverseRank;1340621173682__dbis_format_run01_visual_gps_qbe_204627_OfficialScore_InverseRank;1340621257880__dbis_format_run02_visual_qbe_998879_OfficialScore_InverseRank;1340646105047__IFSC USP_run1_OfficialScore_InverseRank;1340646169213__IFSC USP_run2_OfficialScore_InverseRank;1340800216179__run-imedia-comb_matching_form-seg_filt_romb_OfficialScore_InverseRank;1340914029811__Sabanci_Okan_run1_OfficialScore_InverseRank;1340914195368__Sabanci_Okan_run1_PhotosWithManuelSegm_OfficialScore_InverseRank;1340954813845__dbis_format_run04_clustering_visual_gps_OfficialScore_InverseRank;1340963576839__LirisReVeS_run2_OfficialScore_InverseRank;1340967474781__LIRIS_run_01_OfficialScore_InverseRank;1340969891703__dbis_format_run03_visual_gps_qbe_topk_150_250_OfficialScore_InverseRank;1340978702513__IFSC USP_run3_OfficialScore_InverseRank;1340981884347__run-imedia-shape_context-seg_romb_OfficialScore_InverseRank;1341060086533__thewho_run1_OfficialScore_InverseRank;1341067956101__RMIT_run1_OfficialScore_InverseRank;1341067995504__thewho_run2_OfficialScore_InverseRank;1341068124404__RMIT_run3_OfficialScore_InverseRank;1341068182642__RMIT_run2_OfficialScore_InverseRank;1341076598230__thewho_run3_OfficialScore_InverseRank;1341086902847__thewho_run4_OfficialScore_InverseRank;1341325862488__brainsignals_run1_OfficialScore_InverseRank;1341413130673__run-imedia-3_OfficialScore_InverseRank;
Alnus cordata;34;3;73;6;39;3;0.3906250;0.1979253;0.0927169;0.0494628;0.1284100;0.3999561;0.4053358;0.4070446;0.0329849;0.3280388;0.4325809;0.5302199;0.7608383;0.6535764;0.6535764;0.0949235;0.1309896;0.2906596;0.0202629;0.1088519;0.3990774;0.5169494;0.0000000;0.4775579;0.0000000;0.0000000;0.3851575;0.5283333;0.1406250;0.6202290;
Alnus glutinosa;5;1;25;3;20;2;0.9000000;0.5666667;0.3370816;0.0541759;0.3567100;0.7250000;1.0000000;1.0000000;0.0217249;0.3748485;0.7333333;0.0000000;0.8000000;0.8500000;0.8500000;0.0250000;0.4000000;0.2202020;0.0135515;0.0200000;0.4166667;0.6500000;0.0000000;0.7166667;0.0000000;0.0000000;0.3583333;0.6535714;0.6000000;0.3800000;
Arbutus unedo;19;2;94;10;75;8;0.4769886;0.3758523;0.5139293;0.1904335;0.4303451;0.2184827;0.3275169;0.4566009;0.0360464;0.1538523;0.1943035;0.3147321;0.7282197;0.5655889;0.5655889;0.0571625;0.0994318;0.5808870;0.0652252;0.0194515;0.3220644;0.2106061;0.0000000;0.0638528;0.0000000;0.0000000;0.3491613;0.2073999;0.1363636;0.7610119;
Betula pendula;13;2;92;8;79;6;0.8125000;1.0000000;0.6172754;0.5853613;0.6347153;0.4389824;0.4722245;0.5965774;0.2191667;0.2864266;0.0195819;0.0000000;1.0000000;1.0000000;1.0000000;0.0522253;0.2312500;0.8875000;0.2664941;0.0000000;0.5520833;0.6218750;0.0000000;0.5656250;0.0000000;0.0000000;0.7538194;0.6324405;0.6250000;1.0000000;
Betula pubescens;12;1;16;2;4;1;0.0000000;0.0000000;0.0184981;0.0206944;0.0195369;0.0213697;0.0223166;0.0243901;0.0266291;0.0966371;0.0334123;0.0000000;0.1077381;0.0424603;0.0424603;0.3000000;0.0000000;0.0000000;0.6458333;0.0331344;0.2250000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0208078;
Betula utilis var. jacquemontii;10;1;26;2;16;1;0.0000000;0.1870635;0.0236085;0.0179104;0.0220711;0.0748689;0.1153435;0.1153114;0.0201730;0.0110055;0.0274212;0.0000000;0.0000000;0.0420635;0.0420635;0.0368627;0.0000000;0.0959871;0.0140068;0.0023810;0.0941667;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0644636;
Broussonetia papyrifera;6;1;64;2;58;1;0.4000000;0.0000000;0.3179220;0.5047619;0.5388889;0.3220899;0.3478836;0.7500000;1.0000000;1.0000000;0.1898148;0.1337963;0.8750000;1.0000000;1.0000000;0.4393275;0.3888889;0.1585317;1.0000000;0.0366772;1.0000000;0.6388889;0.0000000;0.6666667;0.0000000;0.0000000;0.5277778;0.5277778;0.1666667;0.6071429;
Buddleja davidii;9;1;84;2;75;1;0.6111111;0.6084656;0.3343545;0.5143519;0.4884259;0.0524329;0.1381231;0.4796296;0.0107154;0.1805556;0.5061728;0.5640212;0.6055556;0.7629630;0.7629630;0.0128113;0.1092593;0.6181457;0.0145645;0.0188312;0.7751323;0.2472222;0.0000000;0.1806878;0.0000000;0.0000000;0.3873016;0.2393298;0.5555556;0.6375661;
Buxus sempervirens;38;2;219;5;181;3;0.0000000;0.0000000;0.0373253;0.0516760;0.0392422;0.0142262;0.0201045;0.0210734;0.0180532;0.0180826;0.0402858;0.0455657;0.3097388;0.3800540;0.3800540;0.0255018;0.0034722;0.2268739;0.0114289;0.0067282;0.0045139;0.0023148;0.0000000;0.0000000;0.0000000;0.0000000;0.0015432;0.0000000;0.0000000;0.1620610;
Capparis spinosa;21;2;47;4;26;2;1.0000000;0.0207341;0.8458333;0.8009091;0.9750000;1.0000000;1.0000000;1.0000000;1.0000000;0.9750000;1.0000000;1.0000000;0.9083333;1.0000000;1.0000000;0.9041667;0.6901515;0.7278662;1.0000000;0.8916667;0.9750000;1.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.9250000;1.0000000;0.9500000;0.7734848;
Carpinus betulus;13;3;70;7;57;4;0.5416667;0.7272222;0.3643919;0.3263244;0.4924646;0.3870003;0.4419007;0.5504630;0.1079148;0.5686448;0.1520433;0.2541270;0.9055556;0.9388889;0.9388889;0.1728129;0.1250000;0.5803571;0.2613444;0.1060185;0.2900000;0.4755291;0.0000000;0.1497354;0.0000000;0.0000000;0.6151852;0.4601852;0.3333333;0.7555556;
Castanea sativa;27;2;96;10;69;8;0.5661184;0.4272478;0.3415567;0.3149461;0.4573827;0.1473364;0.1554994;0.2438982;0.0458031;0.0870342;0.4024842;0.0053371;0.9561404;0.9390351;0.9390351;0.0286868;0.2658991;0.5057174;0.0424074;0.0777036;0.6111842;0.7834430;0.0000000;0.7528509;0.0000000;0.0000000;0.7461075;0.7578582;0.1677632;0.8963816;
Celtis australis;70;3;133;12;63;9;0.9875000;0.9833333;0.9638889;0.9029018;0.9759259;0.9958333;1.0000000;1.0000000;0.1812101;0.7859006;0.9916667;0.9958333;0.9901961;0.9477124;0.9477124;0.9843137;0.7262035;0.9901961;0.0930654;0.5208839;0.9958333;0.9509804;0.0000000;0.9509804;0.0000000;0.0000000;0.9575163;0.9607843;1.0000000;0.2165724;
Cerasus mahaleb;6;1;55;2;49;1;0.0000000;0.0270563;0.0829293;0.0515553;0.0851992;0.0083909;0.0094926;0.0108181;0.0135769;0.0361598;0.0000000;0.0033333;0.0763889;0.0166667;0.0166667;0.0167051;0.0000000;0.0244613;0.0084746;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.2143275;
Cercis siliquastrum;37;2;106;8;69;6;0.8169753;0.9783951;0.9152998;0.8975770;0.9635802;0.6659510;0.7933444;0.8933091;0.6381614;0.4609248;0.7139565;0.7493439;0.9876543;0.9557613;0.9557613;0.9362103;0.6652778;1.0000000;0.6089488;0.4349668;1.0000000;0.9750000;0.0000000;0.9657407;0.0000000;0.0000000;1.0000000;0.9750000;0.9814815;0.5801610;
Colutea arborescens;4;1;14;2;10;1;0.1250000;0.0000000;0.0836742;0.0162502;0.0557846;0.8333333;1.0000000;1.0000000;1.0000000;0.7500000;0.8750000;0.0053191;0.8750000;0.2083333;0.2083333;0.8125000;0.1250000;0.0138889;1.0000000;0.8125000;0.8000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0359453;
Cornus mas;10;1;20;3;10;2;0.0450000;0.0689423;0.0867450;0.0232924;0.0603666;0.0369966;0.0469960;0.0460982;0.0217535;0.0094559;0.1801129;0.2250397;0.0000000;0.4700000;0.4700000;0.0285714;0.0000000;0.3492857;0.0086957;0.0848002;0.1926190;0.0000000;0.0000000;0.0100000;0.0000000;0.0000000;0.0422222;0.0100000;0.0000000;0.0485853;
Cornus sanguinea;12;2;38;5;26;3;0.1166667;0.4958333;0.1453452;0.0257965;0.0963619;0.1451133;0.1391555;0.1467054;0.0802854;0.1439187;0.3616667;0.3150000;0.5592857;0.1351644;0.1351644;0.1877451;0.2773810;0.1326292;0.2432762;0.1025163;0.1001984;0.4764739;0.0000000;0.4206349;0.0000000;0.0000000;0.3605159;0.4525510;0.0000000;0.3445238;
Corylus avellana;51;4;126;15;75;11;0.9871795;0.9416667;0.8337121;0.7735996;0.9288462;0.5999451;0.6860445;1.0000000;0.4074055;0.7639883;0.7773700;0.7761769;1.0000000;0.8500000;0.8500000;0.7012500;0.7169740;0.9409862;0.7246385;0.0956647;1.0000000;1.0000000;0.0000000;0.9950980;0.0000000;0.0000000;1.0000000;1.0000000;0.9871795;0.9553922;
Cotinus coggygria;18;1;82;2;64;1;0.6111111;0.1434193;0.6179015;0.2356957;0.6835724;0.1591782;0.1962191;0.5759259;0.0120482;0.0520310;0.3484754;0.3380752;0.9228395;0.9722222;0.9722222;0.0128668;0.1527778;1.0000000;0.0216632;0.0380593;0.7870370;0.9074074;0.0000000;0.3050926;0.0000000;0.0000000;0.9074074;0.8518519;0.5555556;0.6138889;
Crataegus azarolus;0;0;38;1;38;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Crataegus laevigata;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Crataegus monogyna;13;2;90;10;77;8;0.7111111;0.6066468;0.4519388;0.4971759;0.6190972;0.2398902;0.3450259;0.4401587;0.0662749;0.0835267;0.6250000;0.7738095;0.9642857;0.9047619;0.9047619;0.0810967;0.0714286;0.5176317;0.1515702;0.0921179;0.6448413;0.4980159;0.0000000;0.3601190;0.0000000;0.0000000;0.6130952;0.5218254;0.4404762;0.6163194;
Daphne cneorum;0;0;84;1;84;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Diospyros kaki;11;1;54;4;43;3;0.9090909;0.2833727;0.7500000;0.6757576;0.8484848;0.7309917;0.8106061;1.0000000;0.7651515;0.4186688;0.9272727;0.9318182;1.0000000;0.9393939;0.9393939;1.0000000;0.7575758;0.8212121;0.5197691;0.1132197;0.9090909;0.9545455;0.0000000;0.9545455;0.0000000;0.0000000;0.8055556;1.0000000;0.8181818;0.9545455;
Elaeagnus angustifolia;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Eriobotrya japonica;3;1;38;3;35;2;0.2222222;0.7000000;0.0950855;0.3920635;0.2708333;0.0849206;0.0803030;0.2333333;0.0094668;0.0169426;0.0586420;0.0377519;0.8333333;0.3333333;0.3333333;0.0102399;0.1666667;0.6923077;0.0101017;0.0000000;0.2777778;0.4444444;0.0000000;0.1888889;0.0000000;0.0000000;0.7222222;0.5333333;0.6666667;1.0000000;
Euonymus europaeus;18;2;31;4;13;2;0.2750000;0.0000000;0.1734334;0.0701614;0.1841808;0.5128181;0.5301720;0.5277019;0.4798983;0.4350839;0.5500744;0.0000000;0.2962054;0.0725000;0.0725000;0.2451389;0.1875000;0.1856241;0.4139808;0.4353282;0.2272024;0.2000000;0.0000000;0.1688889;0.0000000;0.0000000;0.0558929;0.1216667;0.0000000;0.1304377;
Euonymus latifolius;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Euphorbia characias;27;1;88;3;61;2;0.8950617;1.0000000;1.0000000;0.9814815;1.0000000;1.0000000;1.0000000;1.0000000;0.9753086;0.9814815;0.9703704;0.9703704;1.0000000;0.9814815;0.9814815;1.0000000;0.8148148;0.9814815;0.9722222;1.0000000;1.0000000;0.9444444;0.0000000;0.9629630;0.0000000;0.0000000;0.9259259;0.9485597;0.9259259;0.8518519;
Fagus sylvatica;5;1;42;3;37;2;0.0000000;0.0667735;0.0690091;0.0285980;0.0550475;0.0168051;0.0487057;0.0436154;0.0201699;0.0125241;0.0651930;0.0838370;0.6622222;0.8400000;0.8400000;0.0187364;0.0000000;0.5352381;0.0135135;0.0050000;0.0000000;0.0333333;0.0000000;0.0000000;0.0000000;0.0000000;0.0222222;0.0000000;0.0000000;0.5500000;
Ficus carica;18;1;61;4;43;3;0.6500000;0.4203704;0.3175699;0.5888460;0.5695206;0.2799028;0.3391832;0.4190917;0.0101838;0.0567728;0.5208995;0.6064815;0.6916667;1.0000000;1.0000000;0.0107855;0.0388889;0.7222222;0.0090227;0.0566306;0.5171958;0.3441799;0.0000000;0.0200617;0.0000000;0.0000000;0.7083333;0.3800926;0.3888889;0.3186421;
Frangula dodonei;6;1;13;2;7;1;0.1444444;0.0369048;0.0326234;0.0195133;0.0269990;0.0108053;0.0221802;0.0428477;0.0375449;0.0113389;0.0162743;0.0318120;0.0277778;0.1789021;0.1789021;0.0243902;0.0000000;0.2571429;0.0310958;0.0358846;0.0333333;0.0333333;0.0000000;0.0000000;0.0000000;0.0000000;0.1177249;0.0571429;0.0000000;0.0367534;
Fraxinus angustifolia;14;1;88;4;74;3;0.7738095;0.5773810;0.5293663;0.6440476;0.8316327;0.1341128;0.2489796;0.3690476;0.4238946;0.4166667;0.7976190;0.6488095;1.0000000;1.0000000;1.0000000;0.5000000;0.2047619;0.7500000;0.2355737;0.5142857;0.8214286;0.9523810;0.0000000;0.9642857;0.0000000;0.0000000;0.9523810;0.9642857;1.0000000;0.8452381;
Fraxinus excelsior;6;1;10;2;4;1;0.2666667;0.0881614;0.0270373;0.0132257;0.0186523;0.1548280;0.1331247;0.1328102;0.0138572;0.4000722;0.2476852;0.0643275;0.0555556;0.1265873;0.1265873;0.0175439;0.0000000;0.1169730;0.0098363;0.0923987;0.1166667;0.0000000;0.0000000;0.0185185;0.0000000;0.0000000;0.0879630;0.0185185;0.0000000;0.1351190;
Fraxinus ornus;14;1;47;3;33;2;0.5357143;0.6964286;0.2435914;0.1885200;0.3448653;0.3447802;0.4681973;0.4477633;0.3384354;0.2077437;0.3530380;0.3002293;0.5059524;0.7261905;0.7261905;0.0526316;0.0952381;0.5836168;0.1580241;0.2851576;0.7500000;0.6273810;0.0000000;0.6335034;0.0000000;0.0000000;0.6488095;0.6154762;0.2142857;0.7642857;
Ginkgo biloba;6;1;55;8;49;7;0.3583333;0.0000000;0.3803503;0.3051438;0.4484611;0.8333333;1.0000000;1.0000000;0.0463841;0.0608070;0.3607041;0.5613054;0.4861111;0.6404762;0.6404762;0.0986111;0.2222222;0.0000000;0.0417368;0.0528506;0.9166667;0.2472222;0.0000000;0.1203704;0.0000000;0.0000000;0.7222222;0.2694444;0.8333333;0.2212266;
Gleditsia triacanthos;10;1;42;2;32;1;0.0200000;0.4866667;0.1994130;0.1086955;0.2391920;0.1971825;0.2944048;0.3392857;0.2376671;0.1134798;0.0000000;0.0000000;0.6166667;0.0875000;0.0875000;0.0344828;0.0000000;0.2392857;0.2505161;0.0000000;0.7500000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.3000000;0.3201166;
Hedera helix;40;4;128;9;88;5;0.7930556;0.3543218;0.7998544;0.4200302;0.8202768;0.5328061;0.5450342;0.8309829;0.3280076;0.5797404;0.6425748;0.7619658;0.9423077;0.9465812;0.9465812;0.2690558;0.1966346;0.7398504;0.2949579;0.1936129;0.6725136;0.4708995;0.0000000;0.3319037;0.0000000;0.0000000;0.6444979;0.4963802;0.8637821;0.7749644;
Ilex aquifolium;4;1;44;2;40;1;0.4375000;0.1791667;0.7857143;0.3182870;0.8000000;0.6666667;0.5625000;0.5833333;0.0223653;0.3589912;0.1605392;0.2459416;1.0000000;0.7083333;0.7083333;0.0179816;0.5000000;0.5416667;0.0226010;0.0316840;0.3750000;1.0000000;0.0000000;0.1770833;0.0000000;0.0000000;1.0000000;1.0000000;0.0000000;0.6250000;
Juglans nigra;3;1;19;2;16;1;0.0000000;0.1142857;0.0224399;0.0221910;0.0256012;0.0161630;0.0186138;0.0304737;0.0097093;0.0101789;0.0375458;0.0300128;0.0476190;0.1666667;0.1666667;0.0092478;0.0000000;0.1527778;0.0155449;0.0000000;0.1777778;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0481602;
Juglans regia;12;2;46;8;34;6;0.5500000;0.3086874;0.3452353;0.0231159;0.0959974;0.0842679;0.2571637;0.2158193;0.0532670;0.2645430;0.6392262;0.0053472;0.0720833;0.5000000;0.5000000;0.0165043;0.1250000;0.1241667;0.0292193;0.3051910;0.0351190;0.1668056;0.0000000;0.2291667;0.0000000;0.0000000;0.1683333;0.1513095;0.0000000;0.1754731;
Juniperus oxycedrus;48;1;130;2;82;1;1.0000000;0.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;0.9652778;0.0000000;0.9895833;0.7993487;1.0000000;1.0000000;0.0000000;1.0000000;0.0000000;0.0000000;1.0000000;1.0000000;1.0000000;0.9322917;
Koelreuteria paniculata;14;1;18;2;4;1;0.0000000;0.0000000;0.0207725;0.0224077;0.0224664;0.3139739;0.3030307;0.2411092;0.0259994;0.0177380;0.0980290;0.0000000;0.1964286;0.1240079;0.1240079;0.0296595;0.0000000;0.0000000;0.0213748;0.0000000;0.1428571;0.0160714;0.0000000;0.0000000;0.0000000;0.0000000;0.0350057;0.0611961;0.0000000;0.0607589;
Laburnum anagyroides;9;1;39;2;30;1;0.6148148;0.0370370;0.4594449;0.3634600;0.5729167;0.3108219;0.4953704;0.5436508;0.0219807;0.2820346;0.7067901;0.6051587;0.8148148;0.6388889;0.6388889;0.0188679;0.2777778;0.0370370;0.0128021;0.0696927;1.0000000;0.4370370;0.0000000;0.1333333;0.0000000;0.0000000;0.5111111;0.4111111;0.5555556;0.2882422;
Laurus nobilis;5;2;47;7;42;5;0.1979167;0.0651042;0.0528725;0.1541274;0.0815910;0.1389142;0.1449793;0.1748512;0.2834077;0.0541329;0.4930556;0.5625000;0.2708333;0.6875000;0.6875000;0.1275362;0.0000000;0.3125000;0.1083333;0.0553737;0.0000000;0.2958333;0.0000000;0.3214286;0.0000000;0.0000000;0.2420139;0.2958333;0.0000000;0.4722222;
Ligustrum vulgare;10;1;36;2;26;1;0.2200000;0.0279762;0.0419278;0.0291761;0.0262232;0.0090374;0.0122658;0.0137863;0.0107203;0.2654719;0.0258114;0.0091164;0.6500000;0.0678968;0.0678968;0.0119915;0.0000000;0.1587302;0.0164234;0.0000000;0.1009524;1.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.1236111;1.0000000;0.1000000;0.4805556;
Liquidambar styraciflua;16;2;29;4;13;2;0.2546296;0.4861111;0.0801088;0.0322744;0.0651040;0.2569793;0.3000518;0.3938518;0.0159043;0.0857088;0.5923501;0.4611993;0.8666667;0.8796296;0.8796296;0.0281737;0.0185185;0.8611111;0.0135740;0.0580688;0.4490741;0.2015810;0.0000000;0.0000000;0.0000000;0.0000000;0.3691327;0.1972411;0.2142857;0.8009259;
Liriodendron tulipifera;15;2;32;4;17;2;0.9357143;0.0000000;0.5715020;0.1155705;0.6518157;0.8126984;0.8630952;0.9464286;0.5636905;0.2723764;0.9464286;0.9104592;0.9642857;0.9315476;0.9315476;0.6190476;0.0416667;0.0976950;0.2986656;0.1917594;0.6845238;0.3958333;0.0000000;0.3809524;0.0000000;0.0000000;0.2050595;0.3940476;0.1071429;0.8330087;
Magnolia grandiflora;4;1;35;3;31;2;0.4458333;0.1172619;0.0563914;0.0543243;0.0459262;0.0927309;0.1231074;0.3562500;0.0204124;0.0649351;0.2791667;0.2375000;0.7812500;0.5000000;0.5000000;0.0232558;0.3750000;0.5750000;0.0195136;0.0406149;0.0000000;0.2791667;0.0000000;0.0562500;0.0000000;0.0000000;0.4666667;0.2062500;0.7500000;0.7083333;
Malus sylvestris;8;1;25;2;17;1;0.0000000;0.0287915;0.0300807;0.0145221;0.0223163;0.0267635;0.0130635;0.0114369;0.0130360;0.0237276;0.0125732;0.0137406;0.0416667;0.0416667;0.0416667;0.0163467;0.0625000;0.1020651;0.0084927;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0471631;
Melia azedarach;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Mespilus germanica;3;1;37;3;34;2;0.0000000;0.1160714;0.0292145;0.0133175;0.0178777;0.0121104;0.0165702;0.0207672;0.0307777;0.0120866;0.1053030;0.1870370;0.0000000;0.0000000;0.0000000;0.0407550;0.0000000;0.1722222;0.0333333;0.0383023;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0131559;
