Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Quercus ilex;88;14;80;7;8;7;1.0000000;0.0043301;0.0564798;0.0015625;0.0671963;0.0009191;
Quercus palustris;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus petraea;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus pubescens;46;5;43;3;3;2;1.0000000;0.0091463;0.0008711;0.0000000;0.0060976;0.0000000;
Quercus robur;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus rubra;0;0;0;0;0;0;null;null;null;null;null;null;
Rhamnus alaternus;1;1;1;1;0;0;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Rhamnus cathartica;0;0;0;0;0;0;null;null;null;null;null;null;
Rhus coriaria;1;1;1;1;0;0;1.0000000;0.1250000;0.0000000;0.0000000;0.0000000;0.0000000;
Rhus typhina;0;0;0;0;0;0;null;null;null;null;null;null;
Robinia pseudoacacia;49;17;39;9;10;8;1.0000000;0.0007165;0.0179398;0.0015239;0.0000000;0.0027006;
Ruscus aculeatus;0;0;0;0;0;0;null;null;null;null;null;null;
Salix alba;0;0;0;0;0;0;null;null;null;null;null;null;
Salix caprea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix cinerea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix fragilis;0;0;0;0;0;0;null;null;null;null;null;null;
Sambucus nigra;37;2;27;1;10;1;1.0000000;0.0123457;0.0133745;0.0000000;0.0370370;0.0401235;
Sophora japonica;8;8;4;4;4;4;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Sorbus aria;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus aucuparia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus domestica;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus intermedia;14;2;2;1;12;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Sorbus latifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus torminalis;0;0;0;0;0;0;null;null;null;null;null;null;
Syringa vulgaris;10;3;6;2;4;1;1.0000000;0.0000000;0.0000000;0.0000000;0.1111111;0.0416667;
Tilia cordata;9;2;1;1;8;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Tilia platyphyllos;7;4;4;2;3;2;1.0000000;0.0000000;0.0000000;0.2500000;0.0000000;0.0000000;
Tilia x europaea;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus laevis;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus minor;16;11;6;6;10;5;1.0000000;0.0400000;0.0666667;0.0166667;0.0000000;0.0000000;
Viburnum lantana;3;2;1;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Viburnum opulus;0;0;0;0;0;0;null;null;null;null;null;null;
Viburnum tinus;74;16;61;8;13;8;1.0000000;0.0187617;0.0034299;0.0130453;0.0077783;0.0239505;
Vitex agnus-castus;50;5;46;3;4;2;1.0000000;0.0045045;0.0016892;0.0000000;0.0024775;0.0033784;
Xanthium strumarium;1;1;1;1;0;0;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
