Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Ostrya carpinifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Paliurus spina-christi;0;0;0;0;0;0;null;null;null;null;null;null;
Phillyrea angustifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Photinia serrulata;0;0;0;0;0;0;null;null;null;null;null;null;
Pistacia lentiscus;67;8;56;4;11;4;1.0000000;0.0000000;0.0000000;0.0000000;0.0885417;0.0000000;
Pistacia terebinthus;43;5;36;2;7;3;1.0000000;0.0000000;0.0000000;0.0000000;0.0125000;0.0000000;
Pittosporum tenuifolium;0;0;0;0;0;0;null;null;null;null;null;null;
Pittosporum tobira;137;8;102;4;35;4;1.0000000;0.0211640;0.0057319;0.0000000;0.0000000;0.0022676;
Platanus x hispanica;58;16;46;9;12;7;1.0000000;0.0333333;0.0000000;0.0208333;0.0000000;0.0000000;
Populus alba;0;0;0;0;0;0;null;null;null;null;null;null;
Populus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Populus tremula;0;0;0;0;0;0;null;null;null;null;null;null;
Populus trichocarpa;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus avium;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus dulcis;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus laurocerasus;4;2;3;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Prunus padus;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serotina;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serrulata;6;2;3;1;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Prunus spinosa;0;0;0;0;0;0;null;null;null;null;null;null;
Punica granatum;28;5;22;3;6;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0156250;
Pyrus nivalis;2;1;2;1;0;0;null;null;null;null;null;null;
Quercus cerris;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus coccifera;27;3;24;2;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.3333333;0.0000000;
Quercus ilex;88;14;80;7;8;7;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0200000;
Quercus palustris;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus petraea;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus pubescens;46;5;43;3;3;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Quercus robur;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus rubra;0;0;0;0;0;0;null;null;null;null;null;null;
Rhamnus alaternus;1;1;1;1;0;0;null;null;null;null;null;null;
Rhamnus cathartica;0;0;0;0;0;0;null;null;null;null;null;null;
Rhus coriaria;1;1;1;1;0;0;null;null;null;null;null;null;
Rhus typhina;0;0;0;0;0;0;null;null;null;null;null;null;
Robinia pseudoacacia;49;17;39;9;10;8;1.0000000;0.0000000;0.1428571;0.0500000;0.0000000;0.0000000;
Ruscus aculeatus;0;0;0;0;0;0;null;null;null;null;null;null;
Salix alba;0;0;0;0;0;0;null;null;null;null;null;null;
Salix caprea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix cinerea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix fragilis;0;0;0;0;0;0;null;null;null;null;null;null;
Sambucus nigra;37;2;27;1;10;1;1.0000000;0.1000000;0.0000000;0.0000000;0.0000000;0.0000000;
Sophora japonica;8;8;4;4;4;4;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Sorbus aria;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus aucuparia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus domestica;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus intermedia;14;2;2;1;12;1;1.0000000;0.0000000;0.0972222;0.0000000;0.0000000;0.0277778;
Sorbus latifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus torminalis;0;0;0;0;0;0;null;null;null;null;null;null;
Syringa vulgaris;10;3;6;2;4;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Tilia cordata;9;2;1;1;8;1;1.0000000;0.0000000;0.0625000;0.0000000;0.0000000;0.0416667;
Tilia platyphyllos;7;4;4;2;3;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Tilia x europaea;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus laevis;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus minor;16;11;6;6;10;5;1.0000000;0.0312500;0.0312500;0.0000000;0.0078125;0.0000000;
Viburnum lantana;3;2;1;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.1000000;0.0000000;
Viburnum opulus;0;0;0;0;0;0;null;null;null;null;null;null;
Viburnum tinus;74;16;61;8;13;8;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Vitex agnus-castus;50;5;46;3;4;2;1.0000000;0.0000000;0.0277778;0.0000000;0.0000000;0.0000000;
Xanthium strumarium;1;1;1;1;0;0;null;null;null;null;null;null;
