Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Broussonetia papyrifera;26;2;12;1;14;1;1.0000000;0.0000000;0.0000000;0.0238095;0.0000000;0.0000000;
Buddleja davidii;38;2;24;1;14;1;1.0000000;0.0142857;0.0000000;0.0000000;0.1428571;0.0476190;
Buxus sempervirens;78;3;68;2;10;1;1.0000000;0.0200000;0.0000000;0.0000000;0.0000000;0.0000000;
Capparis spinosa;12;1;12;1;0;0;null;null;null;null;null;null;
Carpinus betulus;25;2;14;1;11;1;1.0000000;0.0000000;0.0303030;0.0000000;0.0000000;0.0000000;
Castanea sativa;3;2;1;1;2;1;1.0000000;0.0000000;0.0000000;0.0833333;0.0000000;0.0000000;
Celtis australis;37;4;32;3;5;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Cerasus mahaleb;0;0;0;0;0;0;null;null;null;null;null;null;
Cercis siliquastrum;20;3;12;2;8;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Colutea arborescens;0;0;0;0;0;0;null;null;null;null;null;null;
Cornus mas;45;2;35;1;10;1;1.0000000;0.0333333;0.0166667;0.0000000;0.0500000;0.0250000;
Cornus sanguinea;28;2;11;1;17;1;1.0000000;0.0000000;0.0803922;0.0294118;0.0000000;0.0588235;
Corylus avellana;9;4;4;2;5;2;1.0000000;0.0416667;0.0178571;0.0000000;0.0000000;0.0000000;
Cotinus coggygria;62;3;54;2;8;1;1.0000000;0.0000000;0.0000000;0.0416667;0.0625000;0.1250000;
Crataegus azarolus;0;0;0;0;0;0;null;null;null;null;null;null;
Crataegus laevigata;17;2;7;1;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Crataegus monogyna;13;2;1;1;12;1;1.0000000;0.0166667;0.0416667;0.0277778;0.0000000;0.1944444;
Daphne cneorum;73;3;64;2;9;1;1.0000000;0.0000000;0.0370370;0.0000000;0.0158730;0.0000000;
Diospyros kaki;41;4;37;2;4;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Elaeagnus angustifolia;11;2;1;1;10;1;1.0000000;0.0250000;0.0000000;0.0000000;0.0000000;0.0000000;
Eriobotrya japonica;18;2;16;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Euonymus europaeus;0;0;0;0;0;0;null;null;null;null;null;null;
Euonymus latifolius;0;0;0;0;0;0;null;null;null;null;null;null;
Euphorbia characias;117;3;96;2;21;1;1.0000000;0.0000000;0.0000000;0.0476190;0.0095238;0.0068027;
Fagus sylvatica;29;2;21;1;8;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Ficus carica;35;3;34;2;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Frangula dodonei;0;0;0;0;0;0;null;null;null;null;null;null;
Fraxinus angustifolia;21;2;17;1;4;1;1.0000000;0.0000000;0.0000000;0.0833333;0.0000000;0.0000000;
Fraxinus excelsior;12;2;6;1;6;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Fraxinus ornus;0;0;0;0;0;0;null;null;null;null;null;null;
Ginkgo biloba;42;3;35;2;7;1;1.0000000;0.0476190;0.0000000;0.0000000;0.0000000;0.0238095;
Gleditsia triacanthos;23;2;20;1;3;1;1.0000000;0.0000000;0.3333333;0.0000000;0.0000000;0.0000000;
Hedera helix;50;4;28;2;22;2;1.0000000;0.0000000;0.0062500;0.0000000;0.0050000;0.0000000;
Ilex aquifolium;33;3;29;2;4;1;1.0000000;0.0625000;0.0000000;0.0833333;0.0000000;0.0000000;
Juglans nigra;25;2;22;1;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.3333333;
Juglans regia;0;0;0;0;0;0;null;null;null;null;null;null;
Juniperus oxycedrus;34;2;16;1;18;1;1.0000000;0.0000000;0.0185185;0.0555556;0.0185185;0.0000000;
Koelreuteria paniculata;0;0;0;0;0;0;null;null;null;null;null;null;
Laburnum anagyroides;5;2;3;1;2;1;1.0000000;0.0000000;0.0000000;0.2500000;0.0000000;0.0000000;
Laurus nobilis;19;2;16;1;3;1;1.0000000;0.0000000;0.0833333;0.0000000;0.0000000;0.0000000;
Ligustrum vulgare;11;2;1;1;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0500000;
Liquidambar styraciflua;16;2;10;1;6;1;1.0000000;0.0000000;0.3611111;0.0000000;0.1666667;0.0333333;
Liriodendron tulipifera;14;2;9;1;5;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Magnolia grandiflora;25;2;11;1;14;1;1.0000000;0.0436508;0.0440476;0.0000000;0.0142857;0.0238095;
Malus sylvestris;0;0;0;0;0;0;null;null;null;null;null;null;
Melia azedarach;42;2;41;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Mespilus germanica;0;0;0;0;0;0;null;null;null;null;null;null;
Morus alba;39;3;36;2;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Morus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Nerium oleander;23;4;20;3;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Olea europaea;19;2;11;1;8;1;1.0000000;0.0000000;0.0000000;0.0000000;0.2053571;0.0625000;
Ostrya carpinifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Paliurus spina-christi;1;1;1;1;0;0;null;null;null;null;null;null;
Phillyrea angustifolia;86;6;49;3;37;3;1.0000000;0.0203297;0.0000000;0.0025063;0.0517319;0.0025063;
Photinia serrulata;19;2;7;1;12;1;1.0000000;0.0416667;0.0000000;0.0208333;0.0833333;0.0833333;
Pistacia lentiscus;26;2;20;1;6;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0555556;0.0000000;
Pistacia terebinthus;13;3;10;2;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Pittosporum tenuifolium;27;2;13;1;14;1;1.0000000;0.0000000;0.0000000;0.0238095;0.0000000;0.0000000;
Pittosporum tobira;29;2;11;1;18;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0555556;
Platanus x hispanica;31;4;25;3;6;1;1.0000000;0.0000000;0.0000000;0.0000000;0.1666667;0.0000000;
Populus alba;91;2;44;1;47;1;1.0000000;0.0132979;0.0053191;0.0000000;0.0212766;0.0319149;
Populus nigra;97;3;62;2;35;1;1.0000000;0.0142857;0.0285714;0.0104762;0.0000000;0.0000000;
Populus tremula;0;0;0;0;0;0;null;null;null;null;null;null;
Populus trichocarpa;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus avium;20;3;15;2;5;1;1.0000000;0.0400000;0.0000000;0.1000000;0.0666667;0.0000000;
Prunus dulcis;18;2;8;1;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0500000;0.0142857;
Prunus laurocerasus;27;2;8;1;19;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0131579;0.0355890;
Prunus padus;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serotina;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serrulata;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus spinosa;0;0;0;0;0;0;null;null;null;null;null;null;
Punica granatum;57;2;30;1;27;1;1.0000000;0.0185185;0.0000000;0.0324074;0.0145503;0.0370370;
Pyrus nivalis;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus cerris;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus coccifera;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus ilex;37;2;29;1;8;1;1.0000000;0.0156250;0.1250000;0.0000000;0.0000000;0.0000000;
Quercus palustris;14;2;2;1;12;1;1.0000000;0.0277778;0.0000000;0.1041667;0.0277778;0.1388889;
Quercus petraea;9;2;6;1;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Quercus pubescens;44;4;29;3;15;1;1.0000000;0.0000000;0.0000000;0.0428571;0.0333333;0.0095238;
Quercus robur;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus rubra;0;0;0;0;0;0;null;null;null;null;null;null;
Rhamnus alaternus;7;2;1;1;6;1;1.0000000;0.0000000;0.1666667;0.0000000;0.0000000;0.0000000;
Rhamnus cathartica;0;0;0;0;0;0;null;null;null;null;null;null;
Rhus coriaria;123;3;79;2;44;1;1.0000000;0.0119318;0.0037879;0.0000000;0.0000000;0.0305195;
Rhus typhina;63;2;54;1;9;1;1.0000000;0.0000000;0.0000000;0.0222222;0.0555556;0.0000000;
Robinia pseudoacacia;15;3;8;2;7;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Ruscus aculeatus;105;2;21;1;84;1;1.0000000;0.0123016;0.0119048;0.0046296;0.0080499;0.0000000;
Salix alba;0;0;0;0;0;0;null;null;null;null;null;null;
Salix caprea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix cinerea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix fragilis;0;0;0;0;0;0;null;null;null;null;null;null;
Sambucus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Sophora japonica;19;3;12;2;7;1;1.0000000;0.1071429;0.0000000;0.0000000;0.0714286;0.0000000;
Sorbus aria;29;2;20;1;9;1;1.0000000;0.0000000;0.0222222;0.0000000;0.0000000;0.0000000;
Sorbus aucuparia;4;1;4;1;0;0;null;null;null;null;null;null;
Sorbus domestica;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus intermedia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus latifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus torminalis;22;1;22;1;0;0;null;null;null;null;null;null;
Syringa vulgaris;9;2;6;1;3;1;1.0000000;0.0666667;0.0000000;0.0000000;0.0000000;0.1111111;
Tilia cordata;0;0;0;0;0;0;null;null;null;null;null;null;
Tilia platyphyllos;0;0;0;0;0;0;null;null;null;null;null;null;
Tilia x europaea;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus laevis;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus minor;178;4;113;2;65;2;1.0000000;0.0185185;0.0062057;0.0800335;0.0173611;0.0146277;
Viburnum lantana;0;0;0;0;0;0;null;null;null;null;null;null;
Viburnum opulus;23;2;7;1;16;1;1.0000000;0.0089286;0.0000000;0.0000000;0.0245536;0.0000000;
Viburnum tinus;13;2;1;1;12;1;1.0000000;0.0000000;0.0000000;0.0416667;0.0138889;0.0000000;
Vitex agnus-castus;15;2;10;1;5;1;1.0000000;0.1000000;0.0000000;0.0000000;0.0000000;0.1000000;
Xanthium strumarium;0;0;0;0;0;0;null;null;null;null;null;null;
